Longitude	Latitude	FID	solmutunnu	linjoja	lyhyt_nro	nimi_s	nimi_r	nousijat	nettiosoit	P_koord	I_koord
24.74155487	60.17734843	5703	2322239	6	E3245	Ylismäenristi	Oppibackakorset	144	http://aikataulut.hsl.fi/pysakit/fi/2322239.html	6674203	2541335
24.80905077	60.23957817	5704	2117234	3	E1954	Lintuvaaran koulu	Lintuvaaran koulu	3	http://aikataulut.hsl.fi/pysakit/fi/2117234.html	6681180	2544996
24.65640002	60.14118528	5705	2414265	7	E4063	Ristiniementie	Korsnäsvägen	142	http://aikataulut.hsl.fi/pysakit/fi/2414265.html	6670124	2536649
24.73216461	60.15859634	5706	2314224	2	E3140	Leilitie	Lägelvägen	0	http://aikataulut.hsl.fi/pysakit/fi/2314224.html	6672108	2540837
24.71596361	60.23010474	5707	2152233	5	E1531	Riistatie	Villebrådsvägen	53	http://aikataulut.hsl.fi/pysakit/fi/2152233.html	6680065	2539851
24.75336688	60.23365866	5708	2141209	1	E1473	Parrukuja	Sparregränden	36	http://aikataulut.hsl.fi/pysakit/fi/2141209.html	6680484	2541919
24.80837643	60.23932192	5709	2117235	3	E1955	Lintuvaaran koulu	Lintuvaaran koulu	12	http://aikataulut.hsl.fi/pysakit/fi/2117235.html	6681151	2544959
24.64518867	60.1440317	5710	2414267	1	E4064	Krattivuori	Skrattberget	4	http://aikataulut.hsl.fi/pysakit/fi/2414267.html	6670435	2536023
24.74183552	60.17781362	5711	2322240	8	E3246	Ylismäenristi	Oppibackakorset	103	http://aikataulut.hsl.fi/pysakit/fi/2322240.html	6674255	2541350
24.73417806	60.15844165	5712	2314225	2	E3141	Leilitie	Lägelvägen	79	http://aikataulut.hsl.fi/pysakit/fi/2314225.html	6672092	2540949
24.71512765	60.22984	5713	2152234	5	E1532	Riistatie	Villebrådsvägen	115	http://aikataulut.hsl.fi/pysakit/fi/2152234.html	6680035	2539805
24.75317573	60.23319299	5714	2141210	1	E1474	Parrukuja	Sparregränden	2	http://aikataulut.hsl.fi/pysakit/fi/2141210.html	6680432	2541909
24.82590351	60.21269058	5715	2118201	3	E1155	Everstinkatu	Överstegatan	69	http://aikataulut.hsl.fi/pysakit/fi/2118201.html	6678196	2545967
24.63993198	60.14491888	5716	2414268	1	E4065	Kourakuja	Flygränden	86	http://aikataulut.hsl.fi/pysakit/fi/2414268.html	6670531	2535730
24.74921494	60.16953236	5717	2322247	7	E3249	Gräsantulli	Gräsatullen	192	http://aikataulut.hsl.fi/pysakit/fi/2322247.html	6673337	2541770
24.72825778	60.15701118	5718	2314226	2	E3142	Kalaonni	Fiskelyckan	30	http://aikataulut.hsl.fi/pysakit/fi/2314226.html	6671929	2540622
24.71645885	60.23213059	5719	2152235	5	E1533	Auroran koulu	Auroran koulu	14	http://aikataulut.hsl.fi/pysakit/fi/2152235.html	6680291	2539876
24.76228622	60.23689281	5720	2141213	1	E1475	Vanha Rastaalantie	Gamla Trastmossav.	0	http://aikataulut.hsl.fi/pysakit/fi/2141213.html	6680850	2542409
24.83720034	60.21501636	5721	2118202	0	E0666	Vermon ravirata	Vermo travbana	0	http://aikataulut.hsl.fi/pysakit/fi/2118202.html	6678463	2546590
24.64086363	60.14562344	5722	2414269	1	E4066	Kourakuja	Flygränden	2	http://aikataulut.hsl.fi/pysakit/fi/2414269.html	6670610	2535781
24.74331789	60.17563322	5723	2322248	8	E3250	Yliskallio	Oppiberget	28	http://aikataulut.hsl.fi/pysakit/fi/2322248.html	6674013	2541435
24.74273467	60.14738963	5724	2315215	5	E3144	Nuottaniemi	Notudden	158	http://aikataulut.hsl.fi/pysakit/fi/2315215.html	6670866	2541438
24.71571529	60.23196402	5725	2152236	0	E1534	Auroran koulu	Auroran koulu	44	http://aikataulut.hsl.fi/pysakit/fi/2152236.html	6680272	2539835
24.75256362	60.23246944	5726	2141219	2	E1406	Rastasniityntie	Trastängsvägen	11	http://aikataulut.hsl.fi/pysakit/fi/2141219.html	6680351	2541876
24.82657799	60.21225554	5727	2118203	3	E1156	Everstinkatu	Överstegatan	39	http://aikataulut.hsl.fi/pysakit/fi/2118203.html	6678148	2546005
24.6402415	60.14787942	5728	2414270	4	E4067	Laurinlahden koulu	Laurinlahden koulu	58	http://aikataulut.hsl.fi/pysakit/fi/2414270.html	6670861	2535744
24.74805215	60.1690991	5729	2322250	2	E3251	Gräsantulli	Gräsatullen	4	http://aikataulut.hsl.fi/pysakit/fi/2322250.html	6673288	2541706
24.74760106	60.1452619	5730	2315900	0	XE3110	Nuottaniemi	Notudden	0	 	6670632	2541711
24.71797399	60.23456381	5731	2152237	8	E1535	Heiniemenpolku	Hejnässtigen	117	http://aikataulut.hsl.fi/pysakit/fi/2152237.html	6680563	2539957
24.75251284	60.23183239	5732	2141220	2	E1407	Rastasniityntie	Trastängsvägen	77	http://aikataulut.hsl.fi/pysakit/fi/2141220.html	6680280	2541874
